stimulus,category,seed,block,epoch,leaf_A,leaf_B,basic_A,basic_B,best_A,best_B
8,B,1,5,1,0.0833333358168602,0.9166666865348816,0.016129031777381897,0.9838709831237793,0.1527777761220932,0.8472222089767456
9,B,1,5,1,0.0833333358168602,0.9166666865348816,0.016129031777381897,0.9838709831237793,0.0833333358168602,0.9166666865348816
10,B,1,5,1,0.0833333358168602,0.9166666865348816,0.016129031777381897,0.9838709831237793,0.0833333358168602,0.9166666865348816
11,B,1,5,1,0.0833333358168602,0.9166666865348816,0.016129031777381897,0.9838709831237793,0.03125,0.96875
12,B,1,5,1,0.0833333358168602,0.9166666865348816,0.016129031777381897,0.9838709831237793,0.04545454680919647,0.9545454382896423
13,B,1,5,1,0.0833333358168602,0.9166666865348816,0.016129031777381897,0.9838709831237793,0.0833333358168602,0.9166666865348816
14,B,1,5,1,0.0833333358168602,0.9166666865348816,0.8472222089767456,0.1527777761220932,0.0833333358168602,0.9166666865348816
1,A,1,6,1,0.9285714030265808,0.0714285746216774,0.9864864945411682,0.013513513840734959,0.8488371968269348,0.151162788271904
2,A,1,6,1,0.9285714030265808,0.0714285746216774,0.9864864945411682,0.013513513840734959,0.9285714030265808,0.0714285746216774
3,A,1,6,1,0.9285714030265808,0.0714285746216774,0.9864864945411682,0.013513513840734959,0.9615384340286255,0.03846153989434242
4,A,1,6,1,0.9285714030265808,0.0714285746216774,0.9864864945411682,0.013513513840734959,0.9285714030265808,0.0714285746216774
5,A,1,6,1,0.9285714030265808,0.0714285746216774,0.9864864945411682,0.013513513840734959,0.9285714030265808,0.0714285746216774
6,A,1,6,1,0.9285714030265808,0.0714285746216774,0.9864864945411682,0.013513513840734959,0.9285714030265808,0.0714285746216774
7,A,1,6,1,0.9285714030265808,0.0714285746216774,0.151162788271904,0.8488371968269348,0.9285714030265808,0.0714285746216774
8,B,1,6,1,0.0714285746216774,0.9285714030265808,0.013513513840734959,0.9864864945411682,0.151162788271904,0.8488371968269348
9,B,1,6,1,0.0714285746216774,0.9285714030265808,0.013513513840734959,0.9864864945411682,0.0714285746216774,0.9285714030265808
10,B,1,6,1,0.0714285746216774,0.9285714030265808,0.013513513840734959,0.9864864945411682,0.0714285746216774,0.9285714030265808
11,B,1,6,1,0.0714285746216774,0.9285714030265808,0.013513513840734959,0.9864864945411682,0.0714285746216774,0.9285714030265808
12,B,1,6,1,0.0714285746216774,0.9285714030265808,0.013513513840734959,0.9864864945411682,0.03846153989434242,0.9615384340286255
13,B,1,6,1,0.0714285746216774,0.9285714030265808,0.013513513840734959,0.9864864945411682,0.0714285746216774,0.9285714030265808
14,B,1,6,1,0.0714285746216774,0.9285714030265808,0.8488371968269348,0.151162788271904,0.0714285746216774,0.9285714030265808
1,A,1,7,1,0.9375,0.0625,0.9883720874786377,0.011627906933426857,0.8500000238418579,0.15000000596046448
2,A,1,7,1,0.9375,0.0625,0.9883720874786377,0.011627906933426857,0.9375,0.0625
3,A,1,7,1,0.9375,0.0625,0.9883720874786377,0.011627906933426857,0.9666666388511658,0.03333333507180214
4,A,1,7,1,0.9375,0.0625,0.9883720874786377,0.011627906933426857,0.9375,0.0625
5,A,1,7,1,0.9375,0.0625,0.9883720874786377,0.011627906933426857,0.9375,0.0625
6,A,1,7,1,0.9375,0.0625,0.9883720874786377,0.011627906933426857,0.9375,0.0625
7,A,1,7,1,0.9375,0.0625,0.15000000596046448,0.8500000238418579,0.9375,0.0625
8,B,1,7,1,0.0625,0.9375,0.011627906933426857,0.9883720874786377,0.15000000596046448,0.8500000238418579
