stimulus,category,seed,block,epoch,pred_A,pred_B
10,B,1,3,2,0.1596058,0.8403943
11,B,1,3,2,0.1596058,0.8403943
12,B,1,3,2,0.1645555,0.8354445
13,B,1,3,2,0.15960582,0.8403943
14,B,1,3,2,0.50263524,0.4973648
1,A,1,4,2,0.8662895,0.13371058
2,A,1,4,2,0.87828493,0.12171511
3,A,1,4,2,0.86066127,0.13933863
4,A,1,4,2,0.86066127,0.13933863
5,A,1,4,2,0.85540473,0.14459518
6,A,1,4,2,0.8606612,0.13933863
7,A,1,4,2,0.50204974,0.49795017
8,B,1,4,2,0.13371058,0.8662895
9,B,1,4,2,0.12171513,0.87828493
10,B,1,4,2,0.13933863,0.86066127
11,B,1,4,2,0.13933863,0.86066127
12,B,1,4,2,0.14459518,0.85540473
13,B,1,4,2,0.13933864,0.8606612
14,B,1,4,2,0.49795017,0.50204986
1,A,1,5,2,0.88000613,0.11999387
2,A,1,5,2,0.89358026,0.1064198
3,A,1,5,2,0.87426674,0.12573329
4,A,1,5,2,0.87426674,0.1257333
5,A,1,5,2,0.86880404,0.13119605
6,A,1,5,2,0.87426674,0.12573332
7,A,1,5,2,0.50531596,0.4946841
8,B,1,5,2,0.11999388,0.88000613
9,B,1,5,2,0.1064198,0.89358026
10,B,1,5,2,0.1257333,0.87426674
11,B,1,5,2,0.1257333,0.87426674
12,B,1,5,2,0.13119607,0.8688039
13,B,1,5,2,0.12573332,0.87426674
14,B,1,5,2,0.49468407,0.50531596
1,A,1,6,2,0.8898472,0.110152744
2,A,1,6,2,0.90456486,0.0954352
3,A,1,6,2,0.88403654,0.115963586
4,A,1,6,2,0.88403654,0.115963586
5,A,1,6,2,0.87842554,0.12157455
6,A,1,6,2,0.88403654,0.115963586
7,A,1,6,2,0.5077163,0.49228373
8,B,1,6,2,0.110152744,0.8898472
9,B,1,6,2,0.09543522,0.9045648
10,B,1,6,2,0.11596362,0.8840365
11,B,1,6,2,0.11596362,0.8840365
12,B,1,6,2,0.12157459,0.8784255
13,B,1,6,2,0.11596361,0.88403654
14,B,1,6,2,0.4922837,0.50771636
1,A,1,7,2,0.89725405,0.102746055
2,A,1,7,2,0.9128376,0.08716245
3,A,1,7,2,0.89139396,0.10860604
4,A,1,7,2,0.89139396,0.10860604
5,A,1,7,2,0.8856714,0.11432865
6,A,1,7,2,0.89139396,0.108606055
7,A,1,7,2,0.5095528,0.49044704
8,B,1,7,2,0.102746055,0.89725405
9,B,1,7,2,0.08716246,0.9128376
10,B,1,7,2,0.10860606,0.891394
11,B,1,7,2,0.108606055,0.891394
12,B,1,7,2,0.11432865,0.88567144
13,B,1,7,2,0.10860604,0.89139396
14,B,1,7,2,0.49044713,0.5095527
1,A,1,8,2,0.903031,0.096969076
2,A,1,8,2,0.9192931,0.080706924
3,A,1,8,2,0.89713544,0.10286469
4,A,1,8,2,0.89713544,0.10286469
5,A,1,8,2,0.89132565,0.10867444
6,A,1,8,2,0.89713544,0.1028647
7,A,1,8,2,0.51100254,0.48899764
8,B,1,8,2,0.096969076,0.903031
9,B,1,8,2,0.080706924,0.9192931
10,B,1,8,2,0.10286469,0.89713544
11,B,1,8,2,0.10286469,0.89713544
12,B,1,8,2,0.108674444,0.89132565
13,B,1,8,2,0.102864705,0.89713544
14,B,1,8,2,0.4889976,0.51100254
1,A,1,9,2,0.90766317,0.09233686
2,A,1,9,2,0.92447126,0.07552877
3,A,1,9,2,0.9017408,0.098259345
4,A,1,9,2,0.9017408,0.098259345
5,A,1,9,2,0.89586097,0.10413902
6,A,1,9,2,0.90174073,0.09825935
7,A,1,9,2,0.5121753,0.48782477
8,B,1,9,2,0.09233686,0.90766317
9,B,1,9,2,0.07552876,0.92447126
10,B,1,9,2,0.098259345,0.9017408
11,B,1,9,2,0.098259345,0.9017408
12,B,1,9,2,0.10413903,0.89586097
13,B,1,9,2,0.09825934,0.90174073
14,B,1,9,2,0.48782474,0.5121753
1,A,1,10,2,0.9114605,0.088539615
2,A,1,10,2,0.92871714,0.07128284
3,A,1,10,2,0.9055169,0.09448303
4,A,1,10,2,0.9055169,0.09448303
5,A,1,10,2,0.8995799,0.100420035
6,A,1,10,2,0.9055169,0.09448305
7,A,1,10,2,0.51314354,0.48685655
8,B,1,10,2,0.088539615,0.9114605
9,B,1,10,2,0.07128284,0.92871714
10,B,1,10,2,0.09448303,0.9055169
11,B,1,10,2,0.09448303,0.9055169
12,B,1,10,2,0.10042006,0.8995799
13,B,1,10,2,0.09448303,0.905517
14,B,1,10,2,0.48685658,0.5131435
1,A,1,1,3,0.7250335,0.27496648
2,A,1,1,3,0.71649027,0.28350964
3,A,1,1,3,0.73141885,0.2685812
4,A,1,1,3,0.73141885,0.26858124
5,A,1,1,3,0.7122302,0.28776973
6,A,1,1,3,0.7165248,0.28347525
7,A,1,1,3,0.47819304,0.5218069
8,B,1,1,3,0.25554508,0.74445486
9,B,1,1,3,0.25629178,0.7437082
10,B,1,1,3,0.2591501,0.74085
11,B,1,1,3,0.25915012,0.74085003
12,B,1,1,3,0.26000547,0.7399946
13,B,1,1,3,0.25943226,0.7405678
14,B,1,1,3,0.49952313,0.50047684
1,A,1,2,3,0.8119563,0.18804373
2,A,1,2,3,0.8069111,0.19308878
3,A,1,2,3,0.8069111,0.19308877
4,A,1,2,3,0.8069111,0.19308878
5,A,1,2,3,0.80246747,0.19753255
6,A,1,2,3,0.81792045,0.18207952
7,A,1,2,3,0.49016377,0.50983626
8,B,1,2,3,0.18804373,0.8119563
9,B,1,2,3,0.19308877,0.8069111
10,B,1,2,3,0.19308877,0.8069111
11,B,1,2,3,0.19308877,0.8069111
12,B,1,2,3,0.19753255,0.80246747
13,B,1,2,3,0.18207952,0.81792045
14,B,1,2,3,0.5098362,0.49016383
1,A,1,3,3,0.84582984,0.15417029
2,A,1,3,3,0.84039426,0.1596058
3,A,1,3,3,0.84039426,0.1596058
4,A,1,3,3,0.84039426,0.1596058
5,A,1,3,3,0.8354445,0.1645555
6,A,1,3,3,0.85550815,0.14449196
7,A,1,3,3,0.49736467,0.5026353
8,B,1,3,3,0.15417027,0.84582984
9,B,1,3,3,0.1596058,0.84039426
10,B,1,3,3,0.1596058,0.84039426
11,B,1,3,3,0.1596058,0.84039426
12,B,1,3,3,0.16455552,0.8354445
13,B,1,3,3,0.14449196,0.85550815
14,B,1,3,3,0.5026352,0.4973648
1,A,1,4,3,0.8662895,0.13371056
2,A,1,4,3,0.86066127,0.13933863
3,A,1,4,3,0.8606613,0.13933863
4,A,1,4,3,0.86066127,0.13933863
