stimulus,seed,iteration,observed_probs,observed_ranking,predicted_probs_leaf,predicted_probs_basic,predicted_probs_best,reaction_time,correlation_probs_leaf,correlation_probs_basic,correlation_probs_best,correlation_rank_leaf,correlation_rank_basic,correlation_rank_best
8,0,2,0.77,8,0.75,0.899999976,0.899999976,5.006790161,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
9,0,2,0.27,1,0.25,0.100000001,0.100000001,4.67300415,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
10,0,2,0.95,12,0.75,0.899999976,0.899999976,4.696846008,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
11,0,2,0.39,2,0.75,0.916666687,0.916666687,7.319450378,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
12,0,2,0.67,4,0.75,0.899999976,0.833333313,4.67300415,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
13,0,2,0.81,9,0.75,0.916666687,0.833333313,4.911422729,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
14,0,2,0.97,15,0.75,0.899999976,0.833333313,4.79221344,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
15,0,2,0.92,11,0.75,0.916666687,0.916666687,5.197525024,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
16,0,2,0.91,10,0.75,0.899999976,0.899999976,23.31733704,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
1,0,3,0.72,5,0.75,0.916666687,0.916666687,1.525878906,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
2,0,3,0.72,6,0.75,0.899999976,0.833333313,1.47819519,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
3,0,3,0.44,3,0.75,0.899999976,0.899999976,1.59740448,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
4,0,3,0.97,13,0.75,0.916666687,0.916666687,1.883506775,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
5,0,3,0.72,7,0.75,0.916666687,0.833333313,1.525878906,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
6,0,3,0.98,16,0.75,0.916666687,0.916666687,1.835823059,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
7,0,3,0.97,14,0.75,0.916666687,0.875,1.59740448,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
8,0,3,0.77,8,0.75,0.899999976,0.899999976,1.835823059,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
9,0,3,0.27,1,0.25,0.100000001,0.100000001,1.382827759,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
10,0,3,0.95,12,0.75,0.899999976,0.899999976,1.406669617,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
11,0,3,0.39,2,0.75,0.916666687,0.916666687,2.288818359,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
12,0,3,0.67,4,0.75,0.899999976,0.833333313,1.406669617,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
13,0,3,0.81,9,0.75,0.916666687,0.833333313,1.382827759,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
14,0,3,0.97,15,0.75,0.899999976,0.833333313,1.71661377,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
15,0,3,0.92,11,0.75,0.916666687,0.916666687,1.59740448,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
16,0,3,0.91,10,0.75,0.899999976,0.899999976,1.71661377,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
1,0,4,0.72,5,0.75,0.916666687,0.916666687,4.887580872,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
2,0,4,0.72,6,0.75,0.899999976,0.833333313,4.79221344,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
3,0,4,0.44,3,0.75,0.899999976,0.899999976,4.577636719,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
4,0,4,0.97,13,0.75,0.916666687,0.916666687,5.173683167,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
5,0,4,0.72,7,0.75,0.916666687,0.833333313,4.696846008,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
6,0,4,0.98,16,0.75,0.916666687,0.916666687,4.79221344,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
7,0,4,0.97,14,0.75,0.916666687,0.875,5.197525024,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
8,0,4,0.77,8,0.75,0.899999976,0.899999976,4.887580872,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
9,0,4,0.27,1,0.25,0.100000001,0.100000001,4.720687866,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
10,0,4,0.95,12,0.75,0.899999976,0.899999976,4.696846008,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
11,0,4,0.39,2,0.75,0.916666687,0.916666687,6.794929504,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
12,0,4,0.67,4,0.75,0.899999976,0.833333313,4.720687866,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
13,0,4,0.81,9,0.75,0.916666687,0.833333313,4.720687866,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
14,0,4,0.97,15,0.75,0.899999976,0.833333313,4.816055298,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
15,0,4,0.92,11,0.75,0.916666687,0.916666687,5.102157593,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
16,0,4,0.91,10,0.75,0.899999976,0.899999976,4.601478577,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
1,0,5,0.72,5,0.75,0.916666687,0.916666687,5.102157593,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
2,0,5,0.72,6,0.75,0.899999976,0.833333313,4.696846008,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
3,0,5,0.44,3,0.75,0.899999976,0.899999976,4.696846008,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
4,0,5,0.97,13,0.75,0.916666687,0.916666687,5.221366882,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
5,0,5,0.72,7,0.75,0.916666687,0.833333313,4.720687866,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
6,0,5,0.98,16,0.75,0.916666687,0.916666687,4.768371582,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
7,0,5,0.97,14,0.75,0.916666687,0.875,5.125999451,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
8,0,5,0.77,8,0.75,0.899999976,0.899999976,4.911422729,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
9,0,5,0.27,1,0.25,0.100000001,0.100000001,4.696846008,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
10,0,5,0.95,12,0.75,0.899999976,0.899999976,4.577636719,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
11,0,5,0.39,2,0.75,0.916666687,0.916666687,6.413459778,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
12,0,5,0.67,4,0.75,0.899999976,0.833333313,4.625320435,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
13,0,5,0.81,9,0.75,0.916666687,0.833333313,4.601478577,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
14,0,5,0.97,15,0.75,0.899999976,0.833333313,4.768371582,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
15,0,5,0.92,11,0.75,0.916666687,0.916666687,5.102157593,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
16,0,5,0.91,10,0.75,0.899999976,0.899999976,4.601478577,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
1,50,1,0.72,5,0.75,0.899999976,0.899999976,5.006790161,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
2,50,1,0.72,6,0.75,0.875,0.75,5.507469177,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
3,50,1,0.44,3,0.75,0.5,0.75,4.720687866,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
4,50,1,0.97,13,0.75,0.5,0.5,4.982948303,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
5,50,1,0.72,7,0.75,0.899999976,0.833333313,5.006790161,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
6,50,1,0.98,16,0.75,0.899999976,0.899999976,4.935264587,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
7,50,1,0.97,14,0.75,0.899999976,0.833333313,4.816055298,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
8,50,1,0.77,8,0.75,0.875,0.875,5.292892456,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
9,50,1,0.27,1,0.25,0.125,0.25,5.197525024,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
10,50,1,0.95,12,0.75,0.875,0.875,5.197525024,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
11,50,1,0.39,2,0.75,0.899999976,0.899999976,7.796287537,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
12,50,1,0.67,4,0.75,0.5,0.5,4.79221344,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
13,50,1,0.81,9,0.75,0.899999976,0.833333313,5.006790161,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
14,50,1,0.97,15,0.75,0.875,0.833333313,5.388259888,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
15,50,1,0.92,11,0.75,0.899999976,0.899999976,4.982948303,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
16,50,1,0.91,10,0.75,0.875,0.75,5.316734314,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
1,50,2,0.72,5,0.75,0.899999976,0.899999976,4.720687866,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
2,50,2,0.72,6,0.75,0.875,0.75,5.292892456,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
3,50,2,0.44,3,0.75,0.5,0.75,4.887580872,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
4,50,2,0.97,13,0.75,0.5,0.5,5.078315735,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
5,50,2,0.72,7,0.75,0.899999976,0.833333313,4.887580872,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
6,50,2,0.98,16,0.75,0.899999976,0.899999976,4.816055298,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
7,50,2,0.97,14,0.75,0.899999976,0.833333313,6.222724915,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
8,50,2,0.77,8,0.75,0.875,0.875,5.483627319,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
9,50,2,0.27,1,0.25,0.125,0.25,5.197525024,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
10,50,2,0.95,12,0.75,0.875,0.875,5.698204041,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
11,50,2,0.39,2,0.75,0.899999976,0.899999976,6.294250488,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
12,50,2,0.67,4,0.75,0.5,0.5,5.006790161,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
13,50,2,0.81,9,0.75,0.899999976,0.833333313,5.006790161,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
14,50,2,0.97,15,0.75,0.875,0.833333313,5.197525024,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
15,50,2,0.92,11,0.75,0.899999976,0.899999976,7.200241089,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
16,50,2,0.91,10,0.75,0.875,0.75,5.197525024,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
1,50,3,0.72,5,0.75,0.899999976,0.899999976,4.816055298,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
2,50,3,0.72,6,0.75,0.875,0.75,5.602836609,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
3,50,3,0.44,3,0.75,0.5,0.75,4.67300415,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
4,50,3,0.97,13,0.75,0.5,0.5,5.197525024,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
5,50,3,0.72,7,0.75,0.899999976,0.833333313,4.935264587,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
6,50,3,0.98,16,0.75,0.899999976,0.899999976,4.67300415,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
7,50,3,0.97,14,0.75,0.899999976,0.833333313,4.982948303,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
8,50,3,0.77,8,0.75,0.875,0.875,5.197525024,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
9,50,3,0.27,1,0.25,0.125,0.25,5.102157593,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
10,50,3,0.95,12,0.75,0.875,0.875,5.102157593,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
11,50,3,0.39,2,0.75,0.899999976,0.899999976,6.294250488,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
12,50,3,0.67,4,0.75,0.5,0.5,4.601478577,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
13,50,3,0.81,9,0.75,0.899999976,0.833333313,4.816055298,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
14,50,3,0.97,15,0.75,0.875,0.833333313,5.316734314,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
15,50,3,0.92,11,0.75,0.899999976,0.899999976,4.67300415,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
16,50,3,0.91,10,0.75,0.875,0.75,5.006790161,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
1,50,4,0.72,5,0.75,0.899999976,0.899999976,4.696846008,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
2,50,4,0.72,6,0.75,0.875,0.75,5.197525024,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
3,50,4,0.44,3,0.75,0.5,0.75,4.887580872,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
4,50,4,0.97,13,0.75,0.5,0.5,4.79221344,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
5,50,4,0.72,7,0.75,0.899999976,0.833333313,4.79221344,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
6,50,4,0.98,16,0.75,0.899999976,0.899999976,4.887580872,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
7,50,4,0.97,14,0.75,0.899999976,0.833333313,4.720687866,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
8,50,4,0.77,8,0.75,0.875,0.875,5.006790161,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
9,50,4,0.27,1,0.25,0.125,0.25,5.292892456,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
10,50,4,0.95,12,0.75,0.875,0.875,5.006790161,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
11,50,4,0.39,2,0.75,0.899999976,0.899999976,6.031990051,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
12,50,4,0.67,4,0.75,0.5,0.5,4.696846008,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
13,50,4,0.81,9,0.75,0.899999976,0.833333313,4.696846008,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
14,50,4,0.97,15,0.75,0.875,0.833333313,5.102157593,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
15,50,4,0.92,11,0.75,0.899999976,0.899999976,4.911422729,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
16,50,4,0.91,10,0.75,0.875,0.75,5.006790161,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
1,50,5,0.72,5,0.75,0.899999976,0.899999976,6.794929504,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
2,50,5,0.72,6,0.75,0.875,0.75,4.816055298,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
3,50,5,0.44,3,0.75,0.5,0.75,4.696846008,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
4,50,5,0.97,13,0.75,0.5,0.5,14.11437988,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
5,50,5,0.72,7,0.75,0.899999976,0.833333313,5.006790161,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
6,50,5,0.98,16,0.75,0.899999976,0.899999976,5.102157593,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
7,50,5,0.97,14,0.75,0.899999976,0.833333313,4.67300415,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
8,50,5,0.77,8,0.75,0.875,0.875,5.412101746,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
9,50,5,0.27,1,0.25,0.125,0.25,13.58985901,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
10,50,5,0.95,12,0.75,0.875,0.875,5.197525024,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
11,50,5,0.39,2,0.75,0.899999976,0.899999976,5.197525024,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
12,50,5,0.67,4,0.75,0.5,0.5,4.982948303,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
13,50,5,0.81,9,0.75,0.899999976,0.833333313,4.720687866,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
14,50,5,0.97,15,0.75,0.875,0.833333313,5.912780762,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
15,50,5,0.92,11,0.75,0.899999976,0.899999976,4.982948303,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
16,50,5,0.91,10,0.75,0.875,0.75,5.197525024,0.566168177,0.491748792,0.366305693,0.526470588,0.302941176,0.179411765
