seed,epoch,block,concept,fan_size,fact,prob
1,1,11,c3,4,f6,0.43462899327278137
1,1,11,c3,4,f7,0.09816829860210419
1,1,12,c1,1,f1,0.5394165515899658
1,1,12,c2,2,f2,0.9121236801147461
1,1,12,c2,2,f3,0.05100018158555031
1,1,12,c3,4,f4,0.13255318999290466
1,1,12,c3,4,f5,0.0981198102235794
1,1,12,c3,4,f6,0.43490901589393616
1,1,12,c3,4,f7,0.0981198102235794
1,2,1,c1,1,f1,0.3176720440387726
1,2,1,c2,2,f2,0.5742018818855286
1,2,1,c2,2,f3,0.1263761669397354
1,2,1,c3,4,f4,0.2212124764919281
1,2,1,c3,4,f5,0.164497971534729
1,2,1,c3,4,f6,0.352037250995636
1,2,1,c3,4,f7,0.07888972759246826
1,2,2,c1,1,f1,0.31613674759864807
1,2,2,c2,2,f2,0.7818933725357056
1,2,2,c2,2,f3,0.07007107883691788
1,2,2,c3,4,f4,0.1288619190454483
1,2,2,c3,4,f5,0.09712451696395874
1,2,2,c3,4,f6,0.4413423240184784
1,2,2,c3,4,f7,0.09712451696395874
1,2,3,c1,1,f1,0.31645625829696655
1,2,3,c2,2,f2,0.818804919719696
1,2,3,c2,2,f3,0.06492433696985245
1,2,3,c3,4,f4,0.12870073318481445
1,2,3,c3,4,f5,0.0959530621767044
1,2,3,c3,4,f6,0.44820621609687805
1,2,3,c3,4,f7,0.0959530621767044
1,2,4,c1,1,f1,0.31662070751190186
1,2,4,c2,2,f2,0.857693076133728
1,2,4,c2,2,f3,0.058967769145965576
1,2,4,c3,4,f4,0.12864062190055847
1,2,4,c3,4,f5,0.09535423666238785
1,2,4,c3,4,f6,0.45170801877975464
1,2,4,c3,4,f7,0.09535423666238785
1,2,5,c1,1,f1,0.3167284429073334
1,2,5,c2,2,f2,0.8671733140945435
1,2,5,c2,2,f3,0.05771074816584587
1,2,5,c3,4,f4,0.1286107748746872
1,2,5,c3,4,f5,0.09499124437570572
1,2,5,c3,4,f6,0.4538270831108093
1,2,5,c3,4,f7,0.09499124437570572
1,2,6,c1,1,f1,0.31680136919021606
1,2,6,c2,2,f2,0.8732393383979797
1,2,6,c2,2,f3,0.056918442249298096
1,2,6,c3,4,f4,0.1285930722951889
1,2,6,c3,4,f5,0.09474832564592361
