seed,fan_size,type,rt_memory,rt_category,prob_memory,prob_category,log_like_memory,log_like_category
2,1,Target,-0.319980184858241,-0.027901982478353824,0.7398857873979993,0.9724836825702697,-0.319980184858241,-0.027901982478353824
2,3,Related Foil,-2.7496086524197008,-0.026897362237500708,0.02037093118990253,0.9734611502713878,-2.7496086524197008,-0.026897362237500708
2,3,Related Foil,-2.799934035273244,-0.026897362237500708,0.020607099105297483,0.9734611502713878,-2.799934035273244,-0.026897362237500708
2,3,Related Foil,-2.7475276453868287,-0.026897362237500708,0.020365530265803754,0.9734611502713878,-2.7475276453868287,-0.026897362237500708
2,2,Related Foil,-3.2282852851828654,-0.013966376134951315,0.010528633233671978,0.9861307012310446,-3.2282852851828654,-0.013966376134951315
2,2,Related Foil,-3.2282852851828654,-0.013966376134951315,0.010528633233671977,0.9861307012310446,-3.2282852851828654,-0.013966376134951315
2,1,Related Foil,-3.854638307052258,-0.02718670906625735,0.02039906370187669,0.9731795231205653,-3.854638307052258,-0.02718670906625735
2,3,Related Foil,-2.749491352841635,-0.02713591969293573,0.02037557671227405,0.973228951553883,-2.749491352841635,-0.02713591969293573
2,3,Related Foil,-2.749491352841635,-0.02713591969293573,0.020375576712274055,0.973228951553883,-2.749491352841635,-0.02713591969293573
2,3,Related Foil,-2.747410292772573,-0.02713591969293573,0.02037017449959094,0.973228951553883,-2.747410292772573,-0.02713591969293573
2,2,Related Foil,-3.1601545659894157,-0.020716156276539725,0.01540215485161978,0.9794969491766725,-3.1601545659894157,-0.020716156276539725
2,2,Related Foil,-3.1601545659894157,-0.020716156276539725,0.01540215485161978,0.9794969491766725,-3.1601545659894157,-0.020716156276539725
2,1,Related Foil,-3.854322021386643,-0.027901982478353824,0.020413015950117887,0.9724836825702697,-3.854322021386643,-0.027901982478353824
2,3,Unrelated Foil,-4.632071314815179,-3.6291455920643325,0.08372319263644022,0.026538849728612444,-4.632071314815179,-3.6291455920643325
2,3,Unrelated Foil,-4.632071314815179,-3.6291455920643325,0.08372319263644022,0.026538849728612444,-4.632071314815179,-3.6291455920643325
2,3,Unrelated Foil,-4.617924403234245,-3.6291455920643325,0.08352508345560802,0.026538849728612444,-4.617924403234245,-3.6291455920643325
2,2,Unrelated Foil,-5.044411418623152,-4.2780776033267225,0.08261425289276787,0.013869298768955516,-5.044411418623152,-4.2780776033267225
2,2,Unrelated Foil,-5.044411418623152,-4.2780776033267225,0.08261425289276787,0.013869298768955516,-5.044411418623152,-4.2780776033267225
2,1,Unrelated Foil,-5.785249715063613,-3.618589620547135,0.08434755998656489,0.026820476879434597,-5.785249715063613,-3.618589620547135
2,3,Unrelated Foil,-4.632941079558196,-3.6204342572516506,0.08300482442863673,0.02677104844611714,-4.632941079558196,-3.6204342572516506
2,3,Unrelated Foil,-4.868076879171415,-3.6204342572516506,0.09159247055220458,0.02677104844611714,-4.868076879171415,-3.6204342572516506
2,3,Unrelated Foil,-4.618797564225536,-3.6204342572516506,0.08280843354792412,0.02677104844611714,-4.618797564225536,-3.6204342572516506
