seed,epoch,block,level,accuracy
32,3,3,sub,0.8166666666666667
32,3,4,super,1.0
32,3,4,basic,0.9958333333333333
32,3,4,sub,0.8125
32,3,5,super,1.0
32,3,5,basic,0.9958333333333333
32,3,5,sub,0.8125
32,3,6,super,1.0
32,3,6,basic,0.9958333333333333
32,3,6,sub,0.8125
32,3,7,super,1.0
32,3,7,basic,0.9958333333333333
32,3,7,sub,0.8041666666666667
32,3,8,super,1.0
32,3,8,basic,0.9958333333333333
32,3,8,sub,0.8041666666666667
32,3,9,super,1.0
32,3,9,basic,0.9958333333333333
32,3,9,sub,0.8041666666666667
32,3,10,super,1.0
32,3,10,basic,0.9958333333333333
32,3,10,sub,0.8041666666666667
32,4,1,super,1.0
32,4,1,basic,0.9958333333333333
32,4,1,sub,0.7541666666666667
32,4,2,super,1.0
32,4,2,basic,0.9958333333333333
32,4,2,sub,0.8
32,4,3,super,1.0
32,4,3,basic,0.9958333333333333
32,4,3,sub,0.8166666666666667
32,4,4,super,1.0
32,4,4,basic,0.9958333333333333
32,4,4,sub,0.8125
32,4,5,super,1.0
32,4,5,basic,0.9958333333333333
32,4,5,sub,0.8125
32,4,6,super,1.0
32,4,6,basic,0.9958333333333333
32,4,6,sub,0.8125
32,4,7,super,1.0
32,4,7,basic,0.9958333333333333
32,4,7,sub,0.8125
32,4,8,super,1.0
32,4,8,basic,0.9958333333333333
32,4,8,sub,0.8041666666666667
32,4,9,super,1.0
32,4,9,basic,0.9958333333333333
32,4,9,sub,0.8041666666666667
32,4,10,super,1.0
32,4,10,basic,0.9958333333333333
32,4,10,sub,0.8041666666666667
64,1,1,super,1.0
64,1,1,basic,0.9875
64,1,1,sub,0.825
64,1,2,super,1.0
64,1,2,basic,0.9875
64,1,2,sub,0.8458333333333333
64,1,3,super,1.0
64,1,3,basic,0.9875
64,1,3,sub,0.8458333333333333
64,1,4,super,1.0
64,1,4,basic,0.9875
64,1,4,sub,0.8458333333333333
64,1,5,super,1.0
64,1,5,basic,0.9875
64,1,5,sub,0.8458333333333333
64,1,6,super,1.0
64,1,6,basic,0.9875
64,1,6,sub,0.8458333333333333
64,1,7,super,1.0
64,1,7,basic,0.9875
64,1,7,sub,0.8458333333333333
64,1,8,super,1.0
64,1,8,basic,0.9875
64,1,8,sub,0.8458333333333333
