seed,condition_base_rate,block,response_prob_A,actual_prop_A
456,0.1,1,0.06760987615500613,0.08
456,0.1,2,0.19971741051003114,0.08
456,0.1,3,0.1722904971553067,0.16
456,0.1,4,0.18430967415895566,0.16
456,0.1,5,0.13895713682436353,0.04
456,0.1,6,0.11622737311332697,0.04
456,0.1,7,0.08853287971403137,0.08
456,0.1,8,0.09761449929512529,0.08
456,0.1,9,0.08432529853093002,0.04
456,0.1,10,0.09942782134188573,0.2
456,0.3,1,0.3703059562848911,0.36
456,0.3,2,0.409842510705471,0.48
456,0.3,3,0.4610855463668225,0.28
456,0.3,4,0.38822713761974953,0.36
456,0.3,5,0.45035190810896025,0.32
456,0.3,6,0.3820478168352979,0.32
456,0.3,7,0.3245382461450159,0.24
456,0.3,8,0.25463484832778444,0.36
456,0.3,9,0.27246013623302295,0.2
456,0.3,10,0.30084249221885867,0.32
456,0.5,1,0.6210766928708894,0.56
456,0.5,2,0.47073415455975043,0.48
456,0.5,3,0.5176163334396866,0.44
456,0.5,4,0.5182350088420403,0.6
456,0.5,5,0.5190230888730628,0.56
456,0.5,6,0.5653068563383291,0.6
456,0.5,7,0.5910282317558685,0.48
456,0.5,8,0.619129340510987,0.64
456,0.5,9,0.6509095594283406,0.48
456,0.5,10,0.6087150734241034,0.68
456,0.7,1,0.7473242524183895,0.72
456,0.7,2,0.5989707583378547,0.64
456,0.7,3,0.6262405638402068,0.8
456,0.7,4,0.6393811121100894,0.68
456,0.7,5,0.6715817927202753,0.56
456,0.7,6,0.6860385734627917,0.8
456,0.7,7,0.667919430504112,0.8
456,0.7,8,0.681304692342013,0.76
456,0.7,9,0.5664668543409039,0.76
456,0.7,10,0.8038841240934179,0.68
456,0.9,1,0.766751463830963,0.88
456,0.9,2,0.7767022243913848,0.88
456,0.9,3,0.8413117222976868,1.0
456,0.9,4,0.8639306086601783,1.0
456,0.9,5,0.8732001330139628,0.72
456,0.9,6,0.7713607487942451,0.96
456,0.9,7,0.8737128135163391,0.92
456,0.9,8,0.9009101390197506,0.88
456,0.9,9,0.8828284911178976,0.92
456,0.9,10,0.8957392245521788,0.92
789,0.1,1,0.0,0.0
789,0.1,2,0.10428405217274159,0.04
789,0.1,3,0.13825973355646204,0.12
789,0.1,4,0.15023264150077534,0.16
789,0.1,5,0.12018609882208679,0.12
789,0.1,6,0.12893485028098886,0.12
789,0.1,7,0.12094742280859712,0.08
789,0.1,8,0.12790169891494813,0.16
789,0.1,9,0.0975496322117224,0.12
789,0.1,10,0.16018061777275527,0.12
789,0.3,1,0.253751385571861,0.16
789,0.3,2,0.2654282381192795,0.32
789,0.3,3,0.3228154502820916,0.36
789,0.3,4,0.34099103518709883,0.32
789,0.3,5,0.26231706434680474,0.36
789,0.3,6,0.2978018204668085,0.28
789,0.3,7,0.2559801426084797,0.36
789,0.3,8,0.31363731841373055,0.32
789,0.3,9,0.24503484545087167,0.2
789,0.3,10,0.3549659970849504,0.32
789,0.5,1,0.47537220683323894,0.64
789,0.5,2,0.6071574630370157,0.44
789,0.5,3,0.5583981114893322,0.8
789,0.5,4,0.5522529217198057,0.4
789,0.5,5,0.6183652768387797,0.72
789,0.5,6,0.5812079467001717,0.36
789,0.5,7,0.4123799696116284,0.44
789,0.5,8,0.45693050198600205,0.56
789,0.5,9,0.4906305428481751,0.36
789,0.5,10,0.49207577398971725,0.52
789,0.7,1,0.4945485779624354,0.64
789,0.7,2,0.6845807602894278,0.68
789,0.7,3,0.6894419835778869,0.76
789,0.7,4,0.7641808956289967,0.68
789,0.7,5,0.7907624604394415,0.68
789,0.7,6,0.7071177985221112,0.44
789,0.7,7,0.7939609725967975,0.72
789,0.7,8,0.7922753304482306,0.76
789,0.7,9,0.7770393426828117,0.8
789,0.7,10,0.786414729127518,0.72
789,0.9,1,0.7325699165102756,0.8
789,0.9,2,0.7522838161248379,0.96
789,0.9,3,0.8248579422879626,0.96
789,0.9,4,0.8540109634906956,0.92
789,0.9,5,0.8744309033035285,1.0
789,0.9,6,0.8924167761043303,1.0
789,0.9,7,0.9216430075656901,0.92
789,0.9,8,0.9215866721185014,0.92
789,0.9,9,0.9093859039397142,0.96
789,0.9,10,0.9084003696081457,0.88
101112,0.1,1,0.12351753747330958,0.04
