seed,label_rate,distortion,true_category,prob_A,prob_B,accuracy,epoch
12469,1.0,Low,B,0.05165784806013107,0.9483421444892883,1,4
12469,1.0,High,B,0.059580832719802856,0.9404191970825195,1,4
12469,0.0,Prototype,A,0.5,0.5,0,1
12469,0.0,Low,A,0.5,0.5,0,1
12469,0.0,High,A,0.5,0.5,0,1
12469,0.0,Prototype,B,0.5,0.5,0,1
12469,0.0,Low,B,0.5,0.5,0,1
12469,0.0,High,B,0.5,0.5,0,1
12469,0.0,Prototype,A,0.5,0.5,0,2
12469,0.0,Low,A,0.5,0.5,0,2
12469,0.0,High,A,0.5,0.5,0,2
12469,0.0,Prototype,B,0.5,0.5,0,2
12469,0.0,Low,B,0.5,0.5,0,2
12469,0.0,High,B,0.5,0.5,0,2
12469,0.0,Prototype,A,0.5,0.5,0,3
12469,0.0,Low,A,0.5,0.5,0,3
12469,0.0,High,A,0.5,0.5,0,3
12469,0.0,Prototype,B,0.5,0.5,0,3
12469,0.0,Low,B,0.5,0.5,0,3
12469,0.0,High,B,0.5,0.5,0,3
12469,0.0,Prototype,A,0.5,0.5,0,4
12469,0.0,Low,A,0.5,0.5,0,4
12469,0.0,High,A,0.5,0.5,0,4
12469,0.0,Prototype,B,0.5,0.5,0,4
12469,0.0,Low,B,0.5,0.5,0,4
12469,0.0,High,B,0.5,0.5,0,4
