seed,code,club,freq,distance_to_111,recog_score,p_club1,p_club1_raw,p_club2_raw,tag
1,124,Neither,1,2,-3.085333683471481,0.5808097140700429,0.3163169817988953,0.22829681190350992,Other
1,214,Neither,1,2,-3.076438985610105,0.4930465493718367,0.3165387356542728,0.32546704667511833,Other
1,412,Neither,1,2,-3.107108461037176,0.4930107031894027,0.2883622174419436,0.29653830414199017,Other
1,421,Neither,1,2,-2.7983072390600885,0.5112750136108799,0.3192897126722879,0.30520728830044547,Other
1,241,Neither,1,2,-2.8336018244579297,0.5029264382838455,0.26176471994468076,0.2587183965085131,Other
1,142,Neither,1,2,-2.885233649307898,0.45904067431648043,0.2768669974901085,0.3262756279479712,Other
1,143,Neither,1,2,-3.0041051799535166,0.5556473562236056,0.2049832313161013,0.16392562610967076,Other
1,243,Neither,1,3,-2.9851801063486363,0.5146254862131453,0.2775510149412863,0.2617751987362296,Other
1,314,Neither,1,2,-3.024098282929533,0.6034315109175968,0.21447574428446342,0.14095107782219932,Other
1,324,Neither,1,3,-3.1108592098847683,0.5309762969887094,0.3087553914585739,0.27273081274601635,Other
1,431,Neither,1,2,-3.465027614011737,0.7036839314005304,0.3053517121290273,0.12858133437565963,Other
1,432,Neither,1,3,-3.119618013809698,0.3745077337124159,0.1906784040300036,0.3184656986560716,Other
2,112,1,10,1,-1.3211992560083754,0.794548453919011,0.7093175116792557,0.1834128286551011,Freq_Exemplar
2,121,1,10,1,-1.4203030894302267,0.7609121341026737,0.6851947720830281,0.21529654797071598,Freq_Exemplar
2,211,1,10,1,-1.4188881604399506,0.7584683959640317,0.6757213708140044,0.2151811037118408,Freq_Exemplar
2,113,1,1,1,-2.7944083158780133,0.7740217675626346,0.650490501291841,0.18991286790565734,Rare_Exemplar
2,131,1,1,1,-3.147568402997605,0.6551447874475078,0.5427879360687962,0.2857127960877365,Rare_Exemplar
2,311,1,1,1,-3.0284527701262838,0.7317908844088051,0.6183258995298283,0.2266229959860782,Rare_Exemplar
2,133,1,1,2,-3.259923805136513,0.5199253129903041,0.4097951303441608,0.37838563351836524,Rare_Exemplar
2,313,1,1,2,-3.4003584305237333,0.6152912518480456,0.49520129910446486,0.30962291644729717,Rare_Exemplar
2,331,1,1,2,-2.8953388940648717,0.6603848891718067,0.5585221353049175,0.28723031067452337,Rare_Exemplar
2,221,2,10,2,-1.221938101974718,0.19175794138611513,0.16979369577104017,0.7156647866453477,Other
2,212,2,10,2,-1.2564726976067788,0.1730387590635466,0.15731183159813134,0.7518014355650958,Other
2,122,2,10,2,-1.2843693873673738,0.20386109584291026,0.18555257902768674,0.7246386384798873,Other
2,223,2,1,3,-3.0596134886107724,0.2944593831334408,0.22759496517838904,0.545329853030747,Other
2,232,2,1,3,-3.072398476146677,0.22898837384476645,0.18010561054828775,0.6064217031501062,Other
2,322,2,1,3,-2.9588647588738946,0.3005367811528649,0.24767857632011916,0.5764421032520096,Other
2,233,2,1,3,-3.1625015697686774,0.3567441026811414,0.28117350733737484,0.5069923101889441,Other
2,323,2,1,3,-3.224063595992987,0.408643390606337,0.3280470385273147,0.4747239008008976,Other
2,332,2,1,3,-3.2186884286770088,0.3773512828336614,0.29430005303136075,0.4856099841662335,Other
2,132,Either,10,2,-1.1251875756923697,0.3810287822648499,0.34365522815621385,0.5582588637754083,Other
2,321,Either,10,2,-1.2947102844299385,0.5197862709516955,0.46501389508693797,0.42961130198786585,Other
