experiment,subject,stimulus_id,type,correct_cat,p_correct,choice,accuracy,p_A
Exp2,7,Stim8,New,B,0.5299264417506189,B,1,0.4700735582493811
Exp2,7,Stim1,New,A,0.6169059273273392,A,1,0.6169059273273392
Exp2,7,Stim15,Old,A,0.7236123128298305,A,1,0.7236123128298305
Exp2,7,Stim2,Old,B,0.5576608633756877,B,1,0.44233913662431235
Exp2,7,Stim10,Old,B,0.6741538613573934,B,1,0.32584613864260664
Exp2,7,Stim9,New,A,0.566124626056538,A,1,0.566124626056538
Exp2,7,Stim11,New,A,0.6347270487258766,A,1,0.6347270487258766
Exp2,7,Stim4,Old,A,0.6086007635266337,A,1,0.6086007635266337
Exp2,7,Stim3,New,B,0.4967862717755559,A,0,0.5032137282244441
Exp2,7,Stim7,Old,A,0.6689523132512424,A,1,0.6689523132512424
Exp2,7,Stim12,Old,B,0.5361426235245754,B,1,0.4638573764754246
Exp2,7,Stim14,Old,B,0.5464319763948544,B,1,0.45356802360514564
Exp2,7,Stim13,Old,A,0.6489470777475415,A,1,0.6489470777475415
Exp2,7,Stim16,New,B,0.6553919547652911,B,1,0.34460804523470884
Exp2,8,Stim2,Old,B,0.5418397177757173,B,1,0.4581602822242828
Exp2,8,Stim7,Old,A,0.7190496947903229,A,1,0.7190496947903229
Exp2,8,Stim12,Old,B,0.5386548072910429,B,1,0.4613451927089572
Exp2,8,Stim10,Old,B,0.7037218971665666,B,1,0.2962781028334333
Exp2,8,Stim1,New,A,0.5686503461323987,A,1,0.5686503461323987
Exp2,8,Stim9,New,A,0.49705568342071,B,0,0.49705568342071
Exp2,8,Stim5,Old,A,0.6270644117562489,A,1,0.6270644117562489
Exp2,8,Stim8,New,B,0.5085130474700059,B,1,0.4914869525299941
Exp2,8,Stim6,New,A,0.7192718366287278,A,1,0.7192718366287278
Exp2,8,Stim13,Old,A,0.5938407757108437,A,1,0.5938407757108437
Exp2,8,Stim11,New,A,0.5696264242987508,A,1,0.5696264242987508
Exp2,8,Stim3,New,B,0.49564401937429026,A,0,0.5043559806257097
Exp2,8,Stim16,New,B,0.656102577504833,B,1,0.343897422495167
Exp2,8,Stim15,Old,A,0.7441453335937005,A,1,0.7441453335937005
Exp2,8,Stim4,Old,A,0.6364723893494589,A,1,0.6364723893494589
Exp2,8,Stim14,Old,B,0.645026505618954,B,1,0.354973494381046
Exp2,9,Stim15,Old,A,0.7371342636309149,A,1,0.7371342636309149
Exp2,9,Stim7,Old,A,0.7344141620088404,A,1,0.7344141620088404
Exp2,9,Stim6,New,A,0.7612993827830273,A,1,0.7612993827830273
Exp2,9,Stim14,Old,B,0.7530499132254054,B,1,0.24695008677459468
Exp2,9,Stim16,New,B,0.6878219821756462,B,1,0.3121780178243539
Exp2,9,Stim2,Old,B,0.5450609514789648,B,1,0.4549390485210351
Exp2,9,Stim1,New,A,0.4951576971935079,B,0,0.4951576971935079
Exp2,9,Stim10,Old,B,0.7330579830793171,B,1,0.2669420169206828
Exp2,9,Stim11,New,A,0.4951576971935079,B,0,0.4951576971935079
Exp2,9,Stim3,New,B,0.5204329141282666,B,1,0.4795670858717334
Exp2,9,Stim5,Old,A,0.6560622392965854,A,1,0.6560622392965854
Exp2,9,Stim13,Old,A,0.6560622392965854,A,1,0.6560622392965854
Exp2,9,Stim12,Old,B,0.5450609514789648,B,1,0.4549390485210351
Exp2,9,Stim4,Old,A,0.7034520382142183,A,1,0.7034520382142183
Exp2,9,Stim8,New,B,0.5204329141282666,B,1,0.4795670858717334
Exp2,9,Stim9,New,A,0.4813681518713691,B,0,0.4813681518713691
Exp2,10,Stim5,Old,A,0.6252690697232058,A,1,0.6252690697232058
Exp2,10,Stim16,New,B,0.6887443205876407,B,1,0.3112556794123594
Exp2,10,Stim1,New,A,0.5521314421752967,A,1,0.5521314421752967
Exp2,10,Stim14,Old,B,0.6220251493604909,B,1,0.37797485063950914
Exp2,10,Stim7,Old,A,0.6956396055375892,A,1,0.6956396055375892
Exp2,10,Stim4,Old,A,0.6671554274739886,A,1,0.6671554274739886
Exp2,10,Stim3,New,B,0.5209706143302282,B,1,0.47902938566977177
Exp2,10,Stim2,Old,B,0.550331538170965,B,1,0.44966846182903497
Exp2,10,Stim11,New,A,0.5664125433229322,A,1,0.5664125433229322
Exp2,10,Stim6,New,A,0.7102620962487947,A,1,0.7102620962487947
Exp2,10,Stim10,Old,B,0.7076028457782751,B,1,0.29239715422172485
Exp2,10,Stim8,New,B,0.5455830536327808,B,1,0.45441694636721924
