stimulus,seed,iteration,predicted_prob_correct,reaction_time,correlation_prob,observed_prob
9,0,2,0.44271642,0.004291534423828125,0.7924103135370708,0.27
11,0,2,0.4764627,0.003814697265625,0.7924103135370708,0.39
16,0,2,0.54707724,0.0040531158447265625,0.7924103135370708,0.91
4,0,3,0.7476969,0.0059604644775390625,0.7924103135370708,0.97
7,0,3,0.75125223,0.0050067901611328125,0.7924103135370708,0.97
15,0,3,0.7499764,0.0040531158447265625,0.7924103135370708,0.92
13,0,3,0.67813444,0.003814697265625,0.7924103135370708,0.81
5,0,3,0.67811924,0.0040531158447265625,0.7924103135370708,0.72
12,0,3,0.67752784,0.003814697265625,0.7924103135370708,0.67
2,0,3,0.67757887,0.0050067901611328125,0.7924103135370708,0.72
14,0,3,0.7501335,0.0050067901611328125,0.7924103135370708,0.97
10,0,3,0.75000286,0.0040531158447265625,0.7924103135370708,0.95
1,0,3,0.49347952,0.005245208740234375,0.7924103135370708,0.72
3,0,3,0.46117276,0.00476837158203125,0.7924103135370708,0.44
6,0,3,0.7389227,0.005245208740234375,0.7924103135370708,0.98
8,0,3,0.47998393,0.00476837158203125,0.7924103135370708,0.77
9,0,3,0.44271642,0.005245208740234375,0.7924103135370708,0.27
11,0,3,0.4764627,0.00476837158203125,0.7924103135370708,0.39
16,0,3,0.54707724,0.005245208740234375,0.7924103135370708,0.91
4,0,4,0.7476969,0.0069141387939453125,0.7924103135370708,0.97
7,0,4,0.75125223,0.0050067901611328125,0.7924103135370708,0.97
15,0,4,0.7499764,0.0040531158447265625,0.7924103135370708,0.92
13,0,4,0.67813444,0.0040531158447265625,0.7924103135370708,0.81
5,0,4,0.67811924,0.0050067901611328125,0.7924103135370708,0.72
12,0,4,0.67752784,0.00476837158203125,0.7924103135370708,0.67
2,0,4,0.67757887,0.005245208740234375,0.7924103135370708,0.72
14,0,4,0.7501335,0.0050067901611328125,0.7924103135370708,0.97
10,0,4,0.75000286,0.0050067901611328125,0.7924103135370708,0.95
1,0,4,0.49347952,0.0040531158447265625,0.7924103135370708,0.72
3,0,4,0.46117276,0.00476837158203125,0.7924103135370708,0.44
6,0,4,0.7389227,0.0050067901611328125,0.7924103135370708,0.98
8,0,4,0.47998393,0.0050067901611328125,0.7924103135370708,0.77
9,0,4,0.44271642,0.0050067901611328125,0.7924103135370708,0.27
11,0,4,0.4764627,0.0050067901611328125,0.7924103135370708,0.39
16,0,4,0.54707724,0.0050067901611328125,0.7924103135370708,0.91
4,0,5,0.7476969,0.006198883056640625,0.7924103135370708,0.97
7,0,5,0.75125223,0.00476837158203125,0.7924103135370708,0.97
15,0,5,0.7499764,0.005245208740234375,0.7924103135370708,0.92
13,0,5,0.67813444,0.00476837158203125,0.7924103135370708,0.81
5,0,5,0.67811924,0.005245208740234375,0.7924103135370708,0.72
12,0,5,0.67752784,0.00476837158203125,0.7924103135370708,0.67
2,0,5,0.67757887,0.0050067901611328125,0.7924103135370708,0.72
14,0,5,0.7501335,0.0050067901611328125,0.7924103135370708,0.97
10,0,5,0.75000286,0.0050067901611328125,0.7924103135370708,0.95
1,0,5,0.49347952,0.0050067901611328125,0.7924103135370708,0.72
3,0,5,0.46117276,0.0050067901611328125,0.7924103135370708,0.44
6,0,5,0.7389227,0.00476837158203125,0.7924103135370708,0.98
8,0,5,0.47998393,0.0050067901611328125,0.7924103135370708,0.77
9,0,5,0.44271642,0.0050067901611328125,0.7924103135370708,0.27
11,0,5,0.4764627,0.0050067901611328125,0.7924103135370708,0.39
16,0,5,0.54707724,0.0050067901611328125,0.7924103135370708,0.91
4,42,1,0.6899081,0.0050067901611328125,0.7789494460079343,0.97
7,42,1,0.74997306,0.0050067901611328125,0.7789494460079343,0.97
15,42,1,0.75008994,0.0050067901611328125,0.7789494460079343,0.92
13,42,1,0.6901819,0.003814697265625,0.7789494460079343,0.81
5,42,1,0.67809343,0.0050067901611328125,0.7789494460079343,0.72
12,42,1,0.637664,0.0050067901611328125,0.7789494460079343,0.67
2,42,1,0.6776699,0.005245208740234375,0.7789494460079343,0.72
14,42,1,0.75009966,0.00476837158203125,0.7789494460079343,0.97
10,42,1,0.74999166,0.0040531158447265625,0.7789494460079343,0.95
1,42,1,0.54492563,0.00476837158203125,0.7789494460079343,0.72
3,42,1,0.4465911,0.0050067901611328125,0.7789494460079343,0.44
6,42,1,0.71076095,0.00476837158203125,0.7789494460079343,0.98
8,42,1,0.48971376,0.005245208740234375,0.7789494460079343,0.77
9,42,1,0.45132756,0.00476837158203125,0.7789494460079343,0.27
11,42,1,0.50667965,0.0050067901611328125,0.7789494460079343,0.39
16,42,1,0.5254762,0.0050067901611328125,0.7789494460079343,0.91
4,42,2,0.6899081,0.008821487426757812,0.7789494460079343,0.97
7,42,2,0.74997306,0.005245208740234375,0.7789494460079343,0.97
15,42,2,0.75008994,0.00476837158203125,0.7789494460079343,0.92
13,42,2,0.6901819,0.0040531158447265625,0.7789494460079343,0.81
5,42,2,0.67809343,0.00476837158203125,0.7789494460079343,0.72
12,42,2,0.637664,0.004291534423828125,0.7789494460079343,0.67
2,42,2,0.6776699,0.003814697265625,0.7789494460079343,0.72
14,42,2,0.75009966,0.005245208740234375,0.7789494460079343,0.97
10,42,2,0.74999166,0.00476837158203125,0.7789494460079343,0.95
1,42,2,0.54492563,0.005245208740234375,0.7789494460079343,0.72
3,42,2,0.4465911,0.003814697265625,0.7789494460079343,0.44
6,42,2,0.71076095,0.005245208740234375,0.7789494460079343,0.98
8,42,2,0.48971376,0.0040531158447265625,0.7789494460079343,0.77
9,42,2,0.45132756,0.0040531158447265625,0.7789494460079343,0.27
11,42,2,0.50667965,0.004291534423828125,0.7789494460079343,0.39
16,42,2,0.5254762,0.0057220458984375,0.7789494460079343,0.91
4,42,3,0.6899081,0.006198883056640625,0.7789494460079343,0.97
7,42,3,0.74997306,0.00476837158203125,0.7789494460079343,0.97
15,42,3,0.75008994,0.005245208740234375,0.7789494460079343,0.92
13,42,3,0.6901819,0.00476837158203125,0.7789494460079343,0.81
5,42,3,0.67809343,0.005245208740234375,0.7789494460079343,0.72
12,42,3,0.637664,0.0050067901611328125,0.7789494460079343,0.67
2,42,3,0.6776699,0.004291534423828125,0.7789494460079343,0.72
