seed,pattern,p_terrigitis
5,1010,0.04718369340273538
5,1011,0.3039097430198572
5,1100,0.9627426534034814
5,1101,0.63287498699475
5,1110,0.5816058650204203
5,1111,0.9245609818829413
6,0000,0.20339781644940408
6,0001,0.047707311057942584
6,0010,0.03189151408212982
6,0011,0.20817349661323065
6,0100,0.5196624106221004
6,0101,0.17509985769608577
6,0110,0.49603801754083043
6,0111,0.8870729786371847
6,1000,0.9048442266270418
6,1001,0.3881443857756767
6,1010,0.047183693402735385
6,1011,0.3039097430198571
6,1100,0.9627426534034814
6,1101,0.63287498699475
6,1110,0.5816058650204203
6,1111,0.9245609818829412
7,0000,0.45822172272534006
7,0001,0.03835762920431973
7,0010,0.03852387514486736
7,0011,0.3839320920607038
7,0100,0.560325365764671
7,0101,0.13622633871451784
7,0110,0.6071199353158482
7,0111,0.8979895677327064
7,1000,0.9486369247298511
7,1001,0.5281776858585164
7,1010,0.0654153636103096
7,1011,0.5088426111812633
7,1100,0.9125058232507064
7,1101,0.6396739530332032
7,1110,0.7125015668078202
7,1111,0.937135557152157
8,0000,0.4150757888743632
8,0001,0.03682542630828497
8,0010,0.03682542630828497
8,0011,0.4150757888743632
8,0100,0.5
8,0101,0.05112395551882689
8,0110,0.4999999999999999
8,0111,0.9488760444811731
8,1000,0.9488760444811731
8,1001,0.4999999999999999
8,1010,0.05112395551882689
8,1011,0.4999999999999999
8,1100,0.963174573691715
8,1101,0.5849242111256366
8,1110,0.5849242111256366
8,1111,0.963174573691715
9,0000,0.3671250130052501
9,0001,0.03725734659651867
9,0010,0.07543901811705855
9,0011,0.41839413497957956
9,0100,0.6118556142243234
9,0101,0.09515577337295829
9,0110,0.6960902569801429
9,0111,0.9528163065972647
9,1000,0.8249001423039142
9,1001,0.48033758937789967
9,1010,0.11292702136281534
9,1011,0.5039619824591696
9,1100,0.9522926889420573
9,1101,0.7966021835505959
9,1110,0.7918265033867693
9,1111,0.9681084859178701
10,0000,0.4150757888743632
10,0001,0.03682542630828497
10,0010,0.03682542630828497
10,0011,0.41507578887436325
10,0100,0.4999999999999999
10,0101,0.05112395551882689
10,0110,0.5
10,0111,0.9488760444811731
10,1000,0.9488760444811731
10,1001,0.5
10,1010,0.05112395551882689
10,1011,0.5
10,1100,0.9631745736917149
10,1101,0.5849242111256368
10,1110,0.5849242111256366
10,1111,0.963174573691715
11,0000,0.20339781644940413
11,0001,0.047707311057942584
11,0010,0.03189151408212982
11,0011,0.20817349661323065
11,0100,0.5196624106221004
11,0101,0.17509985769608577
11,0110,0.49603801754083043
11,0111,0.8870729786371847
11,1000,0.9048442266270418
11,1001,0.3881443857756767
11,1010,0.047183693402735385
11,1011,0.3039097430198571
11,1100,0.9627426534034814
11,1101,0.63287498699475
11,1110,0.5816058650204203
11,1111,0.9245609818829414
12,0000,0.20622326056815637
12,0001,0.04926774722389371
12,0010,0.03213684662077293
12,0011,0.19552905824562664
12,0100,0.5248626643534596
12,0101,0.2061401240933409
12,0110,0.4751373356465404
12,0111,0.7938598759066592
12,1000,0.9123516527910087
12,1001,0.5944179102722625
12,1010,0.08764834720899123
12,1011,0.4055820897277375
12,1100,0.967863153379227
12,1101,0.8044709417543735
12,1110,0.7937767394318436
12,1111,0.9507322527761062
13,0000,0.4150757888743633
13,0001,0.03682542630828497
13,0010,0.03682542630828497
13,0011,0.4150757888743633
13,0100,0.5
