structure,seed,epoch,block,accuracy
xor,32,4,4,1.0
xor,32,4,5,1.0
xor,32,4,6,1.0
xor,32,4,7,1.0
xor,32,4,8,1.0
xor,32,4,9,1.0
xor,32,4,10,1.0
xor,32,4,11,1.0
xor,32,4,12,1.0
xor,32,4,13,1.0
xor,32,4,14,1.0
xor,32,4,15,1.0
xor,64,1,1,1.0
xor,64,1,2,1.0
xor,64,1,3,1.0
xor,64,1,4,1.0
xor,64,1,5,1.0
xor,64,1,6,1.0
xor,64,1,7,1.0
xor,64,1,8,1.0
xor,64,1,9,1.0
xor,64,1,10,1.0
xor,64,1,11,1.0
xor,64,1,12,1.0
xor,64,1,13,1.0
xor,64,1,14,1.0
xor,64,1,15,1.0
xor,64,2,1,1.0
xor,64,2,2,1.0
xor,64,2,3,1.0
xor,64,2,4,1.0
xor,64,2,5,1.0
xor,64,2,6,1.0
xor,64,2,7,1.0
xor,64,2,8,1.0
xor,64,2,9,1.0
xor,64,2,10,1.0
xor,64,2,11,1.0
xor,64,2,12,1.0
xor,64,2,13,1.0
xor,64,2,14,1.0
xor,64,2,15,1.0
xor,64,3,1,1.0
xor,64,3,2,1.0
xor,64,3,3,1.0
xor,64,3,4,1.0
xor,64,3,5,1.0
xor,64,3,6,1.0
xor,64,3,7,1.0
xor,64,3,8,1.0
xor,64,3,9,1.0
xor,64,3,10,1.0
xor,64,3,11,1.0
xor,64,3,12,1.0
xor,64,3,13,1.0
xor,64,3,14,1.0
xor,64,3,15,1.0
xor,64,4,1,1.0
xor,64,4,2,1.0
xor,64,4,3,1.0
xor,64,4,4,1.0
xor,64,4,5,1.0
xor,64,4,6,1.0
xor,64,4,7,1.0
xor,64,4,8,1.0
xor,64,4,9,1.0
xor,64,4,10,1.0
xor,64,4,11,1.0
xor,64,4,12,1.0
xor,64,4,13,1.0
xor,64,4,14,1.0
xor,64,4,15,1.0
xor,128,1,1,1.0
xor,128,1,2,1.0
xor,128,1,3,1.0
xor,128,1,4,1.0
xor,128,1,5,1.0
xor,128,1,6,1.0
xor,128,1,7,1.0
xor,128,1,8,1.0
xor,128,1,9,1.0
xor,128,1,10,1.0
xor,128,1,11,1.0
xor,128,1,12,1.0
xor,128,1,13,1.0
xor,128,1,14,1.0
xor,128,1,15,1.0
xor,128,2,1,1.0
xor,128,2,2,1.0
xor,128,2,3,1.0
xor,128,2,4,1.0
xor,128,2,5,1.0
xor,128,2,6,1.0
xor,128,2,7,1.0
xor,128,2,8,1.0
xor,128,2,9,1.0
xor,128,2,10,1.0
xor,128,2,11,1.0
xor,128,2,12,1.0
xor,128,2,13,1.0
xor,128,2,14,1.0
xor,128,2,15,1.0
xor,128,3,1,1.0
xor,128,3,2,1.0
