structure,seed,epoch,block,accuracy,pred_share_B
uncorrelated,12438,2,9,1.0,0.5
uncorrelated,12438,2,10,1.0,0.5
uncorrelated,12438,2,11,1.0,0.5
uncorrelated,12438,2,12,1.0,0.5
uncorrelated,12438,2,13,1.0,0.5
uncorrelated,12438,2,14,1.0,0.5
uncorrelated,12438,2,15,1.0,0.5
uncorrelated,12438,3,1,1.0,0.5
uncorrelated,12438,3,2,1.0,0.5
uncorrelated,12438,3,3,1.0,0.5
uncorrelated,12438,3,4,1.0,0.5
uncorrelated,12438,3,5,1.0,0.5
uncorrelated,12438,3,6,1.0,0.5
uncorrelated,12438,3,7,1.0,0.5
uncorrelated,12438,3,8,1.0,0.5
uncorrelated,12438,3,9,1.0,0.5
uncorrelated,12438,3,10,1.0,0.5
uncorrelated,12438,3,11,1.0,0.5
uncorrelated,12438,3,12,1.0,0.5
uncorrelated,12438,3,13,1.0,0.5
uncorrelated,12438,3,14,1.0,0.5
uncorrelated,12438,3,15,1.0,0.5
uncorrelated,12438,4,1,1.0,0.5
uncorrelated,12438,4,2,1.0,0.5
uncorrelated,12438,4,3,1.0,0.5
uncorrelated,12438,4,4,1.0,0.5
uncorrelated,12438,4,5,1.0,0.5
uncorrelated,12438,4,6,1.0,0.5
uncorrelated,12438,4,7,1.0,0.5
uncorrelated,12438,4,8,1.0,0.5
uncorrelated,12438,4,9,1.0,0.5
uncorrelated,12438,4,10,1.0,0.5
uncorrelated,12438,4,11,1.0,0.5
uncorrelated,12438,4,12,1.0,0.5
uncorrelated,12438,4,13,1.0,0.5
uncorrelated,12438,4,14,1.0,0.5
uncorrelated,12438,4,15,1.0,0.5
uncorrelated,12469,1,1,1.0,0.5
uncorrelated,12469,1,2,1.0,0.5
uncorrelated,12469,1,3,1.0,0.5
uncorrelated,12469,1,4,1.0,0.5
uncorrelated,12469,1,5,1.0,0.5
uncorrelated,12469,1,6,1.0,0.5
uncorrelated,12469,1,7,1.0,0.5
uncorrelated,12469,1,8,1.0,0.5
uncorrelated,12469,1,9,1.0,0.5
uncorrelated,12469,1,10,1.0,0.5
uncorrelated,12469,1,11,1.0,0.5
uncorrelated,12469,1,12,1.0,0.5
uncorrelated,12469,1,13,1.0,0.5
uncorrelated,12469,1,14,1.0,0.5
uncorrelated,12469,1,15,1.0,0.5
uncorrelated,12469,2,1,1.0,0.5
uncorrelated,12469,2,2,1.0,0.5
uncorrelated,12469,2,3,1.0,0.5
uncorrelated,12469,2,4,1.0,0.5
uncorrelated,12469,2,5,1.0,0.5
uncorrelated,12469,2,6,1.0,0.5
uncorrelated,12469,2,7,1.0,0.5
uncorrelated,12469,2,8,1.0,0.5
uncorrelated,12469,2,9,1.0,0.5
uncorrelated,12469,2,10,1.0,0.5
uncorrelated,12469,2,11,1.0,0.5
uncorrelated,12469,2,12,1.0,0.5
uncorrelated,12469,2,13,1.0,0.5
uncorrelated,12469,2,14,1.0,0.5
uncorrelated,12469,2,15,1.0,0.5
uncorrelated,12469,3,1,1.0,0.5
uncorrelated,12469,3,2,1.0,0.5
uncorrelated,12469,3,3,1.0,0.5
uncorrelated,12469,3,4,1.0,0.5
uncorrelated,12469,3,5,1.0,0.5
uncorrelated,12469,3,6,1.0,0.5
uncorrelated,12469,3,7,1.0,0.5
uncorrelated,12469,3,8,1.0,0.5
uncorrelated,12469,3,9,1.0,0.5
uncorrelated,12469,3,10,1.0,0.5
uncorrelated,12469,3,11,1.0,0.5
uncorrelated,12469,3,12,1.0,0.5
uncorrelated,12469,3,13,1.0,0.5
uncorrelated,12469,3,14,1.0,0.5
uncorrelated,12469,3,15,1.0,0.5
uncorrelated,12469,4,1,1.0,0.5
uncorrelated,12469,4,2,1.0,0.5
uncorrelated,12469,4,3,1.0,0.5
uncorrelated,12469,4,4,1.0,0.5
uncorrelated,12469,4,5,1.0,0.5
uncorrelated,12469,4,6,1.0,0.5
uncorrelated,12469,4,7,1.0,0.5
uncorrelated,12469,4,8,1.0,0.5
uncorrelated,12469,4,9,1.0,0.5
uncorrelated,12469,4,10,1.0,0.5
uncorrelated,12469,4,11,1.0,0.5
uncorrelated,12469,4,12,1.0,0.5
uncorrelated,12469,4,13,1.0,0.5
uncorrelated,12469,4,14,1.0,0.5
uncorrelated,12469,4,15,1.0,0.5
correlated,12345,1,1,1.0,0.5
correlated,12345,1,2,1.0,0.5
correlated,12345,1,3,1.0,0.5
correlated,12345,1,4,1.0,0.5
correlated,12345,1,5,1.0,0.5
correlated,12345,1,6,1.0,0.5
correlated,12345,1,7,1.0,0.49999999999999994
correlated,12345,1,8,1.0,0.5
correlated,12345,1,9,1.0,0.5
correlated,12345,1,10,1.0,0.5
correlated,12345,1,11,1.0,0.5
correlated,12345,1,12,1.0,0.5
correlated,12345,1,13,1.0,0.49999999999999994
correlated,12345,1,14,1.0,0.5
correlated,12345,1,15,1.0,0.5
correlated,12345,2,1,1.0,0.5
correlated,12345,2,2,1.0,0.5
correlated,12345,2,3,1.0,0.5
correlated,12345,2,4,1.0,0.5
